name,size,crtime,parent_path,malware_class,delete_flag
Suggested Sites~.feed-ms,32768,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/{5588ACFD-6436-411B-A5CE-666AE6A92D3D}~/WebSlices~/,None,0
Web Slice Gallery~.feed-ms,28672,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds/{5588ACFD-6436-411B-A5CE-666AE6A92D3D}~/WebSlices~/,None,0
Feeds Cache,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
7DV2Z68V,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
.,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/7DV2Z68V/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/7DV2Z68V/,None,0
fwlink[1],0,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/7DV2Z68V/,None,0
container.dat,0,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
OKSC3JX7,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
.,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/OKSC3JX7/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/OKSC3JX7/,None,0
fwlink[1],0,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/OKSC3JX7/,None,0
R1LVJ30Z,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
.,256,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/R1LVJ30Z/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/R1LVJ30Z/,None,0
fwlink[1],0,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/R1LVJ30Z/,None,0
S8VER0I7,288,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/,None,0
.,288,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/S8VER0I7/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/S8VER0I7/,None,0
ieonline.microsoft[1],0,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Feeds Cache/S8VER0I7/,None,0
Internet Explorer,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
brndlog.txt,5964,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
brndlog.txt-slack,2228,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
DomainSuggestions,144,1392043947,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,144,1392043947,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/DomainSuggestions/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/DomainSuggestions/,None,0
en-US.1,18176,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/DomainSuggestions/,None,0
en-US.1-slack,2304,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/DomainSuggestions/,None,0
IECompatData,280,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,280,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/IECompatData/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/IECompatData/,None,0
iecompatdata.xml,515509,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/IECompatData/,None,0
iecompatdata.xml-slack,587,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/IECompatData/,None,0
imagestore,144,1392043892,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,144,1392043892,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/,None,0
y3hpiab,272,1392043892,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/,None,0
.,272,1392043892,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/y3hpiab/,None,0
..,144,1392043892,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/y3hpiab/,None,0
imagestore.dat,91527,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/y3hpiab/,None,0
imagestore.dat-slack,2681,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/imagestore/y3hpiab/,None,0
MSIMGSIZ.DAT,49120,1432644370,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
MSIMGSIZ.DAT-slack,32,1432644370,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
Recovery,352,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,352,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/,None,0
Active,48,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/,None,0
.,48,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Active/,None,0
..,352,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Active/,None,0
Last Active,56,1392043957,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/,None,0
.,56,1392043957,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
..,352,1392043878,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
RecoveryStore.{FB0EE295-9262-11E3-9A25-001641E7BB6B}.dat,6656,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
RecoveryStore.{FB0EE295-9262-11E3-9A25-001641E7BB6B}.dat-slack,1536,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
{BB298927-9320-11E3-9237-001641E7BB6B}.dat,30208,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
{BB298927-9320-11E3-9237-001641E7BB6B}.dat-slack,2560,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Recovery/Last Active/,None,0
TabRoaming,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/TabRoaming/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/TabRoaming/,None,0
Tiles,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
pin-2845162440,280,1392043919,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
.,280,1392043919,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-2845162440/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-2845162440/,None,0
msapplication.xml,392,1432644355,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-2845162440/,None,0
pin-9513911450,280,1392045046,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
.,280,1392045046,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-9513911450/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-9513911450/,None,0
msapplication.xml,388,1432644359,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin-9513911450/,None,0
pin16028574790,280,1392045838,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
.,280,1392045838,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin16028574790/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin16028574790/,None,0
msapplication.xml,507,1432644362,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin16028574790/,None,0
pin682489660,280,1392044111,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
.,280,1392044111,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin682489660/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin682489660/,None,0
msapplication.xml,484,1432644356,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin682489660/,None,0
